-0.100001	0.2
-0.0444449	0.3
-0.02423	0.4
-0.0116467	0.5
0.002623	0.6
0.0238797	0.7
0.0580799	0.8
0.106177	0.9
0.172653	1
0.258387	1.1
0.358599	1.2
0.496943	1.3
0.653124	1.4
0.833629	1.5
1.04693	1.6
1.26833	1.7
1.44581	1.8
1.5153	1.9
1.45425	2
1.30022	2.1
1.11602	2.2
0.939879	2.3
0.783019	2.4
0.675487	2.5
0.570552	2.6
0.498508	2.7
0.434338	2.8
0.394297	2.9
0.355453	3
0.326989	3.1
0.297819	3.2
0.248949	3.3
0.249629	3.4
0.223645	3.5
0.21376	3.6
0.198196	3.7
0.1912	3.8
0.172738	3.9
0.167178	4
0.149046	4.1
0.144711	4.2
0.132329	4.3
0.125222	4.4
0.128131	4.5
0.113353	4.6
0.105522	4.7
0.106901	4.8
0.0943634	4.9
0.100341	5
