-1.98978	0.2
-1.3556	0.3
-1.98978	0.4
-1.78273	0.5
-1.57834	0.6
-1.66293	0.7
-1.40609	0.8
-1.50203	0.9
-1.55868	1
-1.41681	1.1
-1.35812	1.2
-1.69351	1.3
-1.98718	1.4
-1.89724	1.5
-1.98457	1.6
-1.98718	1.7
-1.98807	1.8
-1.51384	1.9
-1.9878	2
-1.93733	2.1
-1.99011	2.2
-1.98866	2.3
-1.98508	2.4
-1.98812	2.5
-1.97112	2.6
-1.98327	2.7
-1.97943	2.8
-1.97613	2.9
-1.962	3
-1.50382	3.1
-1.90674	3.2
-1.96326	3.3
-1.95608	3.4
-1.91743	3.5
-1.9288	3.6
-1.92894	3.7
-1.89713	3.8
-1.9117	3.9
-1.87996	4
-1.86397	4.1
-1.83922	4.2
-1.83048	4.3
-1.84461	4.4
-1.77426	4.5
-1.81745	4.6
-1.77421	4.7
-1.7451	4.8
-1.64393	4.9
-1.68278	5
