38571.6	0.2
26753.1	0.3
23673.7	0.4
19424.1	0.5
18097.1	0.6
16699.1	0.7
14558.7	0.8
13942.6	0.9
12409	1
10849.5	1.1
10891.5	1.2
10876.6	1.3
10557.3	1.4
10901.3	1.5
10173.4	1.6
10463.6	1.7
9763.07	1.8
8944.7	1.9
8098.57	2
7124.25	2.1
6029.89	2.2
5580.09	2.3
4531.76	2.4
3679.43	2.5
3238.44	2.6
2978.15	2.7
2651.13	2.8
2140.78	2.9
1958.83	3
1716.09	3.1
1468.98	3.2
1249.69	3.3
730.052	3.4
535.366	3.5
160.756	3.6
124.511	3.7
187.744	3.8
488.689	3.9
386.392	4
412.171	4.1
398.844	4.2
307.097	4.3
175.576	4.4
123.481	4.5
120.431	4.6
85.1116	4.7
62.5757	4.8
101.756	4.9
45.6513	5
