-0.0025	0.2
-0.000826667	0.3
0.00221054	0.4
0.0148952	0.5
0.0466281	0.6
0.103108	0.7
0.191067	0.8
0.318073	0.9
0.483901	1
0.693923	1.1
0.927631	1.2
1.18014	1.3
1.40728	1.4
1.59021	1.5
1.68264	1.6
1.6734	1.7
1.6022	1.8
1.46479	1.9
1.3092	2
1.14706	2.1
1.00153	2.2
0.86775	2.3
0.755114	2.4
0.655556	2.5
0.577537	2.6
0.507241	2.7
0.449003	2.8
0.402069	2.9
0.361655	3
0.326677	3.1
0.295959	3.2
0.270837	3.3
0.250173	3.4
0.230413	3.5
0.21362	3.6
0.19629	3.7
0.183594	3.8
0.171424	3.9
0.16128	4
0.149677	4.1
0.142292	4.2
0.133805	4.3
0.127297	4.4
0.11988	4.5
0.113804	4.6
0.10768	4.7
0.102723	4.8
0.0978487	4.9
0.0924285	5
